PMID,search_term,search_type
26469827,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
26362831,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
26176708,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
26152683,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
25092393,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
24881993,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
24289736,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
23254596,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
22853848,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
22853847,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
22462558,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
22136978,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
21239069,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
21150933,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
21107435,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
20593911,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
19534023,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
19481278,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
19430350,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
19390459,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
18201582,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
18046666,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
17885562,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
17350856,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
16508590,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
16208152,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
16175942,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
16060411,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
15323064,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
15313950,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
11587165,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
9331017,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
7781206,"((""Giapreza""or""Angiotensin II and LFPC-501""or""LJPC-501"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32658264,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32585670,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32513495,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32274572,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
31726882,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
31674644,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
31411768,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
31015494,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30955188,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30899994,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30635696,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30506144,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30359763,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
30049473,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
29951742,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
29947083,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
29846719,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
29462094,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
29392552,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28942334,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28815282,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28550969,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28332096,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28097356,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28097355,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
28057872,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
27896908,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
27826127,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
27734257,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
27533157,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
27496336,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
27434393,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
26940692,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
26932738,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
26684150,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
25958079,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
25401266,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
25363733,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
24836401,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
24622413,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
24376274,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
24322182,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
24193439,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
23208191,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
22523198,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
20923256,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
19261825,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
19110359,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
18822620,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
15730049,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
15071126,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
14753731,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
12972476,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
12830461,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
11689388,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
11680662,"((""Natpara""or""Parathyroid hormone""or""parathyroid hormone and  NPS"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
33321441,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
33246931,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
33197225,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32997575,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32961119,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32910710,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32902312,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32723187,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32718906,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32673417,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32661118,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32641261,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32583557,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32437507,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
32380428,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
31863227,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
31823654,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
31732098,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
31721173,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
31638282,"((""Opdivo""or""Nivolumab""or""nivolumab"") AND (Clinical Trial, Phase III [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])",drug
