search_term,Input
"((""Aemcolo""or""Rifamycin ""or""rifamycin SV and  Cosmo"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Aemcolo""or""Rifamycin ""or""rifamycin SV and  Cosmo"""
"((""Jardiance""or""Empagliflozin""or""empagliflozin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Jardiance""or""Empagliflozin""or""empagliflozin"""
"((""Tecentriq""or""Atezolizumab""or""atezolizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tecentriq""or""Atezolizumab""or""atezolizumab"""
"((""Farxiga""or""Dapagliflozin""or""dapagliflozin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Farxiga""or""Dapagliflozin""or""dapagliflozin"""
"((""Jakafi""or""Ruxolitinib""or""ruxolitinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Jakafi""or""Ruxolitinib""or""ruxolitinib"""
"((""Impavido""or""Miltefosine""or""miltefosin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Impavido""or""Miltefosine""or""miltefosin"""
"((""Gilotrif""or""Afatinib""or""afatinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Gilotrif""or""Afatinib""or""afatinib"""
"((""Vonvendi""or""von Willebrand factor ""Recombinant""""or""vonicog alfa"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Vonvendi""or""von Willebrand factor ""Recombinant""""or""vonicog alfa"""
"((""Incivek""or""Telaprevir""or""telaprevir"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Incivek""or""Telaprevir""or""telaprevir"""
"((""Corlanor""or""Ivabradine""or""ivabradine"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Corlanor""or""Ivabradine""or""ivabradine"""
"((""Tagrisso""or""Osimertinib""or""osimertinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tagrisso""or""Osimertinib""or""osimertinib"""
"((""Venclexta""or""Venetoclax""or""venetoclax"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Venclexta""or""Venetoclax""or""venetoclax"""
"((""Mekinist""or""Trametinib""or""trametinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Mekinist""or""Trametinib""or""trametinib"""
"((""Esbriet""or""Pirfenidone""or""pirfenidone"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Esbriet""or""Pirfenidone""or""pirfenidone"""
"((""Asclera""or""Polidocanol""or""polidocanol"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Asclera""or""Polidocanol""or""polidocanol"""
"((""Stivarga""or""Regorafenib""or""regorafenib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Stivarga""or""Regorafenib""or""regorafenib"""
"((""Cosentyx""or""Secukinumab""or""secukinumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Cosentyx""or""Secukinumab""or""secukinumab"""
"((""Tecfidera""or""Dimethyl fumarate""or""dimethyl fumarate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tecfidera""or""Dimethyl fumarate""or""dimethyl fumarate"""
"((""Firazyr""or""Icatibant""or""icatibant"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Firazyr""or""Icatibant""or""icatibant"""
"((""Invokana""or""Canagliflozin""or""canagliflozin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Invokana""or""Canagliflozin""or""canagliflozin"""
"((""Tivicay""or""Dolutegravir""or""dolutegravir"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tivicay""or""Dolutegravir""or""dolutegravir"""
"((""Benznidazole""or""Benznidazole""or""benznidazole"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Benznidazole""or""Benznidazole""or""benznidazole"""
"((""Tafinlar""or""Dabrafenib""or""dabrafenib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tafinlar""or""Dabrafenib""or""dabrafenib"""
"((""Ferriprox""or""Deferiprone""or""deferiprone and  BTG"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Ferriprox""or""Deferiprone""or""deferiprone and  BTG"""
"((""Radicava""or""Edaravone ""or""edaravone"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Radicava""or""Edaravone ""or""edaravone"""
"((""Daklinza""or""Daclatasvir""or""daclatasvir"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Daklinza""or""Daclatasvir""or""daclatasvir"""
"((""Bridion""or""Sugammadex""or""sugammadex sodium"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Bridion""or""Sugammadex""or""sugammadex sodium"""
"((""Perjeta""or""Pertuzumab""or""pertuzumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Perjeta""or""Pertuzumab""or""pertuzumab"""
"((""Entyvio""or""Vedolizumab""or""vedolizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Entyvio""or""Vedolizumab""or""vedolizumab"""
"((""Ibrance""or""Palbociclib""or""palbociclib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Ibrance""or""Palbociclib""or""palbociclib"""
"((""Entresto""or""Sacubitril and  valsartan""or""sacubitril and valsartan"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Entresto""or""Sacubitril and  valsartan""or""sacubitril and valsartan"""
"((""Moxidectin""or""Moxidectin ""or""moxidectin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Moxidectin""or""Moxidectin ""or""moxidectin"""
"((""Dupixent""or""Dupilumab ""or""dupilumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Dupixent""or""Dupilumab ""or""dupilumab"""
"((""Kyprolis""or""Carfilzomib""or""carfilzomib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Kyprolis""or""Carfilzomib""or""carfilzomib"""
"((""Harvoni""or""Ledipasvir and sofosbuvir""or""sofosbuvir and ledipasvir"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Harvoni""or""Ledipasvir and sofosbuvir""or""sofosbuvir and ledipasvir"""
"((""Glassia""or""Alpha-1-proteinase inhibitor""or""alpha-1 antitrypsin and  iv and  Kamada"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Glassia""or""Alpha-1-proteinase inhibitor""or""alpha-1 antitrypsin and  iv and  Kamada"""
"((""Ofev""or""Nintedanib""or""nintedanib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Ofev""or""Nintedanib""or""nintedanib"""
"((""Zinbryta""or""Daclizumab""or""daclizumab high yield process"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Zinbryta""or""Daclizumab""or""daclizumab high yield process"""
"((""Inlyta""or""Axitinib""or""axitinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Inlyta""or""Axitinib""or""axitinib"""
"((""Adcetris""or""Brentuximab vedotin""or""brentuximab vedotin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Adcetris""or""Brentuximab vedotin""or""brentuximab vedotin"""
"((""Lenvima""or""Lenvatinib""or""lenvatinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Lenvima""or""Lenvatinib""or""lenvatinib"""
"((""Cometriq""or""Cabozantinib""or""cabozantinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Cometriq""or""Cabozantinib""or""cabozantinib"""
"((""Onfi""or""Clobazam""or""clobazam and  Lundbeck"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Onfi""or""Clobazam""or""clobazam and  Lundbeck"""
"((""Jevtana""or""Cabazitaxel""or""cabazitaxel"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Jevtana""or""Cabazitaxel""or""cabazitaxel"""
"((""Cyramza""or""Ramucirumab""or""ramucirumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Cyramza""or""Ramucirumab""or""ramucirumab"""
"((""Darzalex""or""Daratumumab""or""daratumumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Darzalex""or""Daratumumab""or""daratumumab"""
"((""Victrelis""or""Boceprevir""or""boceprevir"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Victrelis""or""Boceprevir""or""boceprevir"""
"((""Nucala""or""Mepolizumab""or""mepolizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Nucala""or""Mepolizumab""or""mepolizumab"""
"((""Natroba""or""Spinosad""or""spinosad"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Natroba""or""Spinosad""or""spinosad"""
"((""Farydak""or""Panobinostat""or""panobinostat"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Farydak""or""Panobinostat""or""panobinostat"""
"((""Kalydeco""or""Ivacaftor""or""ivacaftor"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Kalydeco""or""Ivacaftor""or""ivacaftor"""
"((""Sirturo""or""Bedaquiline""or""bedaquiline"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Sirturo""or""Bedaquiline""or""bedaquiline"""
"((""Yondelis""or""Trabectedin""or""trabectedin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Yondelis""or""Trabectedin""or""trabectedin"""
"((""Pomalyst""or""Pomalidomide""or""pomalidomide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Pomalyst""or""Pomalidomide""or""pomalidomide"""
"((""Avycaz""or""Avibactam and ceftazidime""or""avibactam and ceftazidime"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Avycaz""or""Avibactam and ceftazidime""or""avibactam and ceftazidime"""
"((""Olysio""or""Simeprevir""or""simeprevir"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Olysio""or""Simeprevir""or""simeprevir"""
"((""Imfinzi""or""Durvalumab ""or""durvalumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Imfinzi""or""Durvalumab ""or""durvalumab"""
"((""Repatha""or""Evolocumab""or""evolocumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Repatha""or""Evolocumab""or""evolocumab"""
"((""Otezla""or""Apremilast""or""apremilast"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Otezla""or""Apremilast""or""apremilast"""
"((""Kadcyla""or""Ado-trastuzumab emtansine""or""trastuzumab emtansine"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Kadcyla""or""Ado-trastuzumab emtansine""or""trastuzumab emtansine"""
"((""Edurant""or""Rilpivirine""or""rilpivirine"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Edurant""or""Rilpivirine""or""rilpivirine"""
"((""Halaven""or""Eribulin""or""eribulin mesylate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Halaven""or""Eribulin""or""eribulin mesylate"""
"((""Iclusig""or""Ponatinib""or""ponatinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Iclusig""or""Ponatinib""or""ponatinib"""
"((""Benlysta""or""Belimumab""or""belimumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Benlysta""or""Belimumab""or""belimumab"""
"((""Aubagio""or""Teriflunomide""or""teriflunomide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Aubagio""or""Teriflunomide""or""teriflunomide"""
"((""Caprelsa""or""Vandetanib""or""vandetanib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Caprelsa""or""Vandetanib""or""vandetanib"""
"((""Provenge""or""Sipuleucel-T ""or""sipuleucel-T"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Provenge""or""Sipuleucel-T ""or""sipuleucel-T"""
"((""Praluent""or""Alirocumab""or""alirocumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Praluent""or""Alirocumab""or""alirocumab"""
"((""Taltz""or""Ixekizumab""or""ixekizumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Taltz""or""Ixekizumab""or""ixekizumab"""
"((""Zydelig""or""Idelalisib""or""idelalisib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Zydelig""or""Idelalisib""or""idelalisib"""
"((""Erivedge""or""Vismodegib""or""vismodegib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Erivedge""or""Vismodegib""or""vismodegib"""
"((""Daliresp""or""Roflumilast""or""roflumilast"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Daliresp""or""Roflumilast""or""roflumilast"""
"((""Alecensa""or""Alectinib""or""alectinib hydrochloride"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Alecensa""or""Alectinib""or""alectinib hydrochloride"""
"((""Myrbetriq""or""Mirabegron""or""mirabegron"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Myrbetriq""or""Mirabegron""or""mirabegron"""
"((""Tresiba""or""Insulin degludec""or""insulin degludec"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Tresiba""or""Insulin degludec""or""insulin degludec"""
"((""Egaten""or""Triclabendazole""or""triclabendazole"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Egaten""or""Triclabendazole""or""triclabendazole"""
"((""Fycompa""or""Perampanel""or""perampanel"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Fycompa""or""Perampanel""or""perampanel"""
"((""Gazyva""or""Obinutuzumab""or""obinutuzumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Gazyva""or""Obinutuzumab""or""obinutuzumab"""
"((""Bavencio""or""Avelumab ""or""avelumab"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Bavencio""or""Avelumab ""or""avelumab"""
"((""Signifor""or""Pasireotide""or""pasireotide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Signifor""or""Pasireotide""or""pasireotide"""
"((""Kengreal""or""Cangrelor""or""cangrelor tetrasodium"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Kengreal""or""Cangrelor""or""cangrelor tetrasodium"""
"((""Rydapt""or""Midostaurin ""or""midostaurin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Rydapt""or""Midostaurin ""or""midostaurin"""
"((""Ozempic""or""Semaglutide ""or""semaglutide"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Ozempic""or""Semaglutide ""or""semaglutide"""
"((""Emflaza""or""Deflazacort ""or""deflazacort and  Marathon Pharmaceuticals"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Emflaza""or""Deflazacort ""or""deflazacort and  Marathon Pharmaceuticals"""
"((""Nesina""or""Alogliptin""or""alogliptin benzoate"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Nesina""or""Alogliptin""or""alogliptin benzoate"""
"((""Dificid""or""Fidaxomicin""or""fidaxomicin"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Dificid""or""Fidaxomicin""or""fidaxomicin"""
"((""Olumiant""or""Baricitinib ""or""baricitinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Olumiant""or""Baricitinib ""or""baricitinib"""
"((""Bosulif""or""Bosutinib""or""bosutinib"") AND (Clinical Trial, Phase II [pt]) AND (human [MeSH Terms])) NOT (Review [pt]) AND (1980:2020 [pdat])","""Bosulif""or""Bosutinib""or""bosutinib"""
