search_term,Input
"(""Kovaltry""or""Recombinant Antihemophilic Factor VIII ""Human""""or""Factor VIII ""recombinant"" and  Bayer-2"") AND (1980:2020 [pdat])","""Kovaltry""or""Recombinant Antihemophilic Factor VIII ""Human""""or""Factor VIII ""recombinant"" and  Bayer-2"""
"(""Victoza""or""Liraglutide""or""liraglutide"") AND (1980:2020 [pdat])","""Victoza""or""Liraglutide""or""liraglutide"""
"(""Brilinta""or""Ticagrelor""or""ticagrelor"") AND (1980:2020 [pdat])","""Brilinta""or""Ticagrelor""or""ticagrelor"""
"(""Gilenya""or""Fingolimod""or""fingolimod hydrochloride"") AND (1980:2020 [pdat])","""Gilenya""or""Fingolimod""or""fingolimod hydrochloride"""
"(""Sovaldi""or""Sofosbuvir""or""sofosbuvir"") AND (1980:2020 [pdat])","""Sovaldi""or""Sofosbuvir""or""sofosbuvir"""
"(""Xalkori""or""Crizotinib""or""crizotinib"") AND (1980:2020 [pdat])","""Xalkori""or""Crizotinib""or""crizotinib"""
"(""Imbruvica""or""Ibrutinib""or""ibrutinib"") AND (1980:2020 [pdat])","""Imbruvica""or""Ibrutinib""or""ibrutinib"""
"(""Eylea""or""Aflibercept""or""aflibercept ophthalmic solution"") AND (1980:2020 [pdat])","""Eylea""or""Aflibercept""or""aflibercept ophthalmic solution"""
"(""Zaltrap""or""Ziv-aflibercept""or""aflibercept"") AND (1980:2020 [pdat])","""Zaltrap""or""Ziv-aflibercept""or""aflibercept"""
"(""Zytiga""or""Abiraterone""or""abiraterone acetate"") AND (1980:2020 [pdat])","""Zytiga""or""Abiraterone""or""abiraterone acetate"""
"(""Zelboraf""or""Vemurafenib""or""vemurafenib"") AND (1980:2020 [pdat])","""Zelboraf""or""Vemurafenib""or""vemurafenib"""
"(""Xtandi""or""Enzalutamide""or""enzalutamide"") AND (1980:2020 [pdat])","""Xtandi""or""Enzalutamide""or""enzalutamide"""
"(""Ella""or""Ulipristal""or""ulipristal acetate"") AND (1980:2020 [pdat])","""Ella""or""Ulipristal""or""ulipristal acetate"""
"(""Xeljanz""or""Tofacitinib""or""tofacitinib"") AND (1980:2020 [pdat])","""Xeljanz""or""Tofacitinib""or""tofacitinib"""
"(""Lynparza""or""Olaparib""or""olaparib"") AND (1980:2020 [pdat])","""Lynparza""or""Olaparib""or""olaparib"""
"(""Savaysa""or""Edoxaban""or""edoxaban"") AND (1980:2020 [pdat])","""Savaysa""or""Edoxaban""or""edoxaban"""
"(""Aemcolo""or""Rifamycin ""or""rifamycin SV and  Cosmo"") AND (1980:2020 [pdat])","""Aemcolo""or""Rifamycin ""or""rifamycin SV and  Cosmo"""
"(""Jardiance""or""Empagliflozin""or""empagliflozin"") AND (1980:2020 [pdat])","""Jardiance""or""Empagliflozin""or""empagliflozin"""
"(""Tecentriq""or""Atezolizumab""or""atezolizumab"") AND (1980:2020 [pdat])","""Tecentriq""or""Atezolizumab""or""atezolizumab"""
"(""Farxiga""or""Dapagliflozin""or""dapagliflozin"") AND (1980:2020 [pdat])","""Farxiga""or""Dapagliflozin""or""dapagliflozin"""
"(""Jakafi""or""Ruxolitinib""or""ruxolitinib"") AND (1980:2020 [pdat])","""Jakafi""or""Ruxolitinib""or""ruxolitinib"""
"(""Impavido""or""Miltefosine""or""miltefosin"") AND (1980:2020 [pdat])","""Impavido""or""Miltefosine""or""miltefosin"""
"(""Gilotrif""or""Afatinib""or""afatinib"") AND (1980:2020 [pdat])","""Gilotrif""or""Afatinib""or""afatinib"""
"(""Vonvendi""or""von Willebrand factor ""Recombinant""""or""vonicog alfa"") AND (1980:2020 [pdat])","""Vonvendi""or""von Willebrand factor ""Recombinant""""or""vonicog alfa"""
"(""Incivek""or""Telaprevir""or""telaprevir"") AND (1980:2020 [pdat])","""Incivek""or""Telaprevir""or""telaprevir"""
"(""Corlanor""or""Ivabradine""or""ivabradine"") AND (1980:2020 [pdat])","""Corlanor""or""Ivabradine""or""ivabradine"""
"(""Tagrisso""or""Osimertinib""or""osimertinib"") AND (1980:2020 [pdat])","""Tagrisso""or""Osimertinib""or""osimertinib"""
"(""Venclexta""or""Venetoclax""or""venetoclax"") AND (1980:2020 [pdat])","""Venclexta""or""Venetoclax""or""venetoclax"""
"(""Mekinist""or""Trametinib""or""trametinib"") AND (1980:2020 [pdat])","""Mekinist""or""Trametinib""or""trametinib"""
"(""Esbriet""or""Pirfenidone""or""pirfenidone"") AND (1980:2020 [pdat])","""Esbriet""or""Pirfenidone""or""pirfenidone"""
"(""Asclera""or""Polidocanol""or""polidocanol"") AND (1980:2020 [pdat])","""Asclera""or""Polidocanol""or""polidocanol"""
"(""Stivarga""or""Regorafenib""or""regorafenib"") AND (1980:2020 [pdat])","""Stivarga""or""Regorafenib""or""regorafenib"""
"(""Cosentyx""or""Secukinumab""or""secukinumab"") AND (1980:2020 [pdat])","""Cosentyx""or""Secukinumab""or""secukinumab"""
"(""Tecfidera""or""Dimethyl fumarate""or""dimethyl fumarate"") AND (1980:2020 [pdat])","""Tecfidera""or""Dimethyl fumarate""or""dimethyl fumarate"""
"(""Firazyr""or""Icatibant""or""icatibant"") AND (1980:2020 [pdat])","""Firazyr""or""Icatibant""or""icatibant"""
"(""Invokana""or""Canagliflozin""or""canagliflozin"") AND (1980:2020 [pdat])","""Invokana""or""Canagliflozin""or""canagliflozin"""
"(""Tivicay""or""Dolutegravir""or""dolutegravir"") AND (1980:2020 [pdat])","""Tivicay""or""Dolutegravir""or""dolutegravir"""
"(""Benznidazole""or""Benznidazole""or""benznidazole"") AND (1980:2020 [pdat])","""Benznidazole""or""Benznidazole""or""benznidazole"""
"(""Tafinlar""or""Dabrafenib""or""dabrafenib"") AND (1980:2020 [pdat])","""Tafinlar""or""Dabrafenib""or""dabrafenib"""
"(""Ferriprox""or""Deferiprone""or""deferiprone and  BTG"") AND (1980:2020 [pdat])","""Ferriprox""or""Deferiprone""or""deferiprone and  BTG"""
"(""Radicava""or""Edaravone ""or""edaravone"") AND (1980:2020 [pdat])","""Radicava""or""Edaravone ""or""edaravone"""
"(""Daklinza""or""Daclatasvir""or""daclatasvir"") AND (1980:2020 [pdat])","""Daklinza""or""Daclatasvir""or""daclatasvir"""
"(""Bridion""or""Sugammadex""or""sugammadex sodium"") AND (1980:2020 [pdat])","""Bridion""or""Sugammadex""or""sugammadex sodium"""
"(""Perjeta""or""Pertuzumab""or""pertuzumab"") AND (1980:2020 [pdat])","""Perjeta""or""Pertuzumab""or""pertuzumab"""
"(""Entyvio""or""Vedolizumab""or""vedolizumab"") AND (1980:2020 [pdat])","""Entyvio""or""Vedolizumab""or""vedolizumab"""
"(""Ibrance""or""Palbociclib""or""palbociclib"") AND (1980:2020 [pdat])","""Ibrance""or""Palbociclib""or""palbociclib"""
"(""Entresto""or""Sacubitril and  valsartan""or""sacubitril and valsartan"") AND (1980:2020 [pdat])","""Entresto""or""Sacubitril and  valsartan""or""sacubitril and valsartan"""
"(""Moxidectin""or""Moxidectin ""or""moxidectin"") AND (1980:2020 [pdat])","""Moxidectin""or""Moxidectin ""or""moxidectin"""
"(""Dupixent""or""Dupilumab ""or""dupilumab"") AND (1980:2020 [pdat])","""Dupixent""or""Dupilumab ""or""dupilumab"""
"(""Kyprolis""or""Carfilzomib""or""carfilzomib"") AND (1980:2020 [pdat])","""Kyprolis""or""Carfilzomib""or""carfilzomib"""
"(""Harvoni""or""Ledipasvir and sofosbuvir""or""sofosbuvir and ledipasvir"") AND (1980:2020 [pdat])","""Harvoni""or""Ledipasvir and sofosbuvir""or""sofosbuvir and ledipasvir"""
"(""Glassia""or""Alpha-1-proteinase inhibitor""or""alpha-1 antitrypsin and  iv and  Kamada"") AND (1980:2020 [pdat])","""Glassia""or""Alpha-1-proteinase inhibitor""or""alpha-1 antitrypsin and  iv and  Kamada"""
"(""Ofev""or""Nintedanib""or""nintedanib"") AND (1980:2020 [pdat])","""Ofev""or""Nintedanib""or""nintedanib"""
"(""Zinbryta""or""Daclizumab""or""daclizumab high yield process"") AND (1980:2020 [pdat])","""Zinbryta""or""Daclizumab""or""daclizumab high yield process"""
"(""Inlyta""or""Axitinib""or""axitinib"") AND (1980:2020 [pdat])","""Inlyta""or""Axitinib""or""axitinib"""
"(""Adcetris""or""Brentuximab vedotin""or""brentuximab vedotin"") AND (1980:2020 [pdat])","""Adcetris""or""Brentuximab vedotin""or""brentuximab vedotin"""
"(""Lenvima""or""Lenvatinib""or""lenvatinib"") AND (1980:2020 [pdat])","""Lenvima""or""Lenvatinib""or""lenvatinib"""
"(""Cometriq""or""Cabozantinib""or""cabozantinib"") AND (1980:2020 [pdat])","""Cometriq""or""Cabozantinib""or""cabozantinib"""
"(""Onfi""or""Clobazam""or""clobazam and  Lundbeck"") AND (1980:2020 [pdat])","""Onfi""or""Clobazam""or""clobazam and  Lundbeck"""
"(""Jevtana""or""Cabazitaxel""or""cabazitaxel"") AND (1980:2020 [pdat])","""Jevtana""or""Cabazitaxel""or""cabazitaxel"""
"(""Cyramza""or""Ramucirumab""or""ramucirumab"") AND (1980:2020 [pdat])","""Cyramza""or""Ramucirumab""or""ramucirumab"""
"(""Darzalex""or""Daratumumab""or""daratumumab"") AND (1980:2020 [pdat])","""Darzalex""or""Daratumumab""or""daratumumab"""
"(""Victrelis""or""Boceprevir""or""boceprevir"") AND (1980:2020 [pdat])","""Victrelis""or""Boceprevir""or""boceprevir"""
"(""Nucala""or""Mepolizumab""or""mepolizumab"") AND (1980:2020 [pdat])","""Nucala""or""Mepolizumab""or""mepolizumab"""
"(""Natroba""or""Spinosad""or""spinosad"") AND (1980:2020 [pdat])","""Natroba""or""Spinosad""or""spinosad"""
"(""Farydak""or""Panobinostat""or""panobinostat"") AND (1980:2020 [pdat])","""Farydak""or""Panobinostat""or""panobinostat"""
"(""Kalydeco""or""Ivacaftor""or""ivacaftor"") AND (1980:2020 [pdat])","""Kalydeco""or""Ivacaftor""or""ivacaftor"""
"(""Sirturo""or""Bedaquiline""or""bedaquiline"") AND (1980:2020 [pdat])","""Sirturo""or""Bedaquiline""or""bedaquiline"""
"(""Yondelis""or""Trabectedin""or""trabectedin"") AND (1980:2020 [pdat])","""Yondelis""or""Trabectedin""or""trabectedin"""
"(""Pomalyst""or""Pomalidomide""or""pomalidomide"") AND (1980:2020 [pdat])","""Pomalyst""or""Pomalidomide""or""pomalidomide"""
"(""Avycaz""or""Avibactam and ceftazidime""or""avibactam and ceftazidime"") AND (1980:2020 [pdat])","""Avycaz""or""Avibactam and ceftazidime""or""avibactam and ceftazidime"""
"(""Olysio""or""Simeprevir""or""simeprevir"") AND (1980:2020 [pdat])","""Olysio""or""Simeprevir""or""simeprevir"""
"(""Imfinzi""or""Durvalumab ""or""durvalumab"") AND (1980:2020 [pdat])","""Imfinzi""or""Durvalumab ""or""durvalumab"""
"(""Repatha""or""Evolocumab""or""evolocumab"") AND (1980:2020 [pdat])","""Repatha""or""Evolocumab""or""evolocumab"""
"(""Otezla""or""Apremilast""or""apremilast"") AND (1980:2020 [pdat])","""Otezla""or""Apremilast""or""apremilast"""
"(""Kadcyla""or""Ado-trastuzumab emtansine""or""trastuzumab emtansine"") AND (1980:2020 [pdat])","""Kadcyla""or""Ado-trastuzumab emtansine""or""trastuzumab emtansine"""
"(""Edurant""or""Rilpivirine""or""rilpivirine"") AND (1980:2020 [pdat])","""Edurant""or""Rilpivirine""or""rilpivirine"""
"(""Halaven""or""Eribulin""or""eribulin mesylate"") AND (1980:2020 [pdat])","""Halaven""or""Eribulin""or""eribulin mesylate"""
"(""Iclusig""or""Ponatinib""or""ponatinib"") AND (1980:2020 [pdat])","""Iclusig""or""Ponatinib""or""ponatinib"""
"(""Benlysta""or""Belimumab""or""belimumab"") AND (1980:2020 [pdat])","""Benlysta""or""Belimumab""or""belimumab"""
"(""Aubagio""or""Teriflunomide""or""teriflunomide"") AND (1980:2020 [pdat])","""Aubagio""or""Teriflunomide""or""teriflunomide"""
"(""Caprelsa""or""Vandetanib""or""vandetanib"") AND (1980:2020 [pdat])","""Caprelsa""or""Vandetanib""or""vandetanib"""
"(""Provenge""or""Sipuleucel-T ""or""sipuleucel-T"") AND (1980:2020 [pdat])","""Provenge""or""Sipuleucel-T ""or""sipuleucel-T"""
"(""Praluent""or""Alirocumab""or""alirocumab"") AND (1980:2020 [pdat])","""Praluent""or""Alirocumab""or""alirocumab"""
"(""Taltz""or""Ixekizumab""or""ixekizumab"") AND (1980:2020 [pdat])","""Taltz""or""Ixekizumab""or""ixekizumab"""
"(""Zydelig""or""Idelalisib""or""idelalisib"") AND (1980:2020 [pdat])","""Zydelig""or""Idelalisib""or""idelalisib"""
"(""Erivedge""or""Vismodegib""or""vismodegib"") AND (1980:2020 [pdat])","""Erivedge""or""Vismodegib""or""vismodegib"""
"(""Daliresp""or""Roflumilast""or""roflumilast"") AND (1980:2020 [pdat])","""Daliresp""or""Roflumilast""or""roflumilast"""
"(""Alecensa""or""Alectinib""or""alectinib hydrochloride"") AND (1980:2020 [pdat])","""Alecensa""or""Alectinib""or""alectinib hydrochloride"""
"(""Myrbetriq""or""Mirabegron""or""mirabegron"") AND (1980:2020 [pdat])","""Myrbetriq""or""Mirabegron""or""mirabegron"""
"(""Tresiba""or""Insulin degludec""or""insulin degludec"") AND (1980:2020 [pdat])","""Tresiba""or""Insulin degludec""or""insulin degludec"""
"(""Egaten""or""Triclabendazole""or""triclabendazole"") AND (1980:2020 [pdat])","""Egaten""or""Triclabendazole""or""triclabendazole"""
"(""Fycompa""or""Perampanel""or""perampanel"") AND (1980:2020 [pdat])","""Fycompa""or""Perampanel""or""perampanel"""
"(""Gazyva""or""Obinutuzumab""or""obinutuzumab"") AND (1980:2020 [pdat])","""Gazyva""or""Obinutuzumab""or""obinutuzumab"""
"(""Bavencio""or""Avelumab ""or""avelumab"") AND (1980:2020 [pdat])","""Bavencio""or""Avelumab ""or""avelumab"""
"(""Signifor""or""Pasireotide""or""pasireotide"") AND (1980:2020 [pdat])","""Signifor""or""Pasireotide""or""pasireotide"""
"(""Kengreal""or""Cangrelor""or""cangrelor tetrasodium"") AND (1980:2020 [pdat])","""Kengreal""or""Cangrelor""or""cangrelor tetrasodium"""
"(""Rydapt""or""Midostaurin ""or""midostaurin"") AND (1980:2020 [pdat])","""Rydapt""or""Midostaurin ""or""midostaurin"""
"(""Ozempic""or""Semaglutide ""or""semaglutide"") AND (1980:2020 [pdat])","""Ozempic""or""Semaglutide ""or""semaglutide"""
"(""Emflaza""or""Deflazacort ""or""deflazacort and  Marathon Pharmaceuticals"") AND (1980:2020 [pdat])","""Emflaza""or""Deflazacort ""or""deflazacort and  Marathon Pharmaceuticals"""
"(""Nesina""or""Alogliptin""or""alogliptin benzoate"") AND (1980:2020 [pdat])","""Nesina""or""Alogliptin""or""alogliptin benzoate"""
"(""Dificid""or""Fidaxomicin""or""fidaxomicin"") AND (1980:2020 [pdat])","""Dificid""or""Fidaxomicin""or""fidaxomicin"""
"(""Olumiant""or""Baricitinib ""or""baricitinib"") AND (1980:2020 [pdat])","""Olumiant""or""Baricitinib ""or""baricitinib"""
"(""Bosulif""or""Bosutinib""or""bosutinib"") AND (1980:2020 [pdat])","""Bosulif""or""Bosutinib""or""bosutinib"""
"(""Blincyto""or""Blinatumomab""or""blinatumomab"") AND (1980:2020 [pdat])","""Blincyto""or""Blinatumomab""or""blinatumomab"""
"(""Zerbaxa""or""Ceftolozane and tazobactam""or""ceftolozane sulfate and tazobactam"") AND (1980:2020 [pdat])","""Zerbaxa""or""Ceftolozane and tazobactam""or""ceftolozane sulfate and tazobactam"""
"(""Defitelio""or""Defibrotide sodium""or""defibrotide"") AND (1980:2020 [pdat])","""Defitelio""or""Defibrotide sodium""or""defibrotide"""
"(""Ocaliva""or""Obeticholic acid""or""obeticholic acid"") AND (1980:2020 [pdat])","""Ocaliva""or""Obeticholic acid""or""obeticholic acid"""
"(""Zykadia""or""Ceritinib""or""ceritinib"") AND (1980:2020 [pdat])","""Zykadia""or""Ceritinib""or""ceritinib"""
"(""Latuda""or""Lurasidone""or""lurasidone hydrochloride"") AND (1980:2020 [pdat])","""Latuda""or""Lurasidone""or""lurasidone hydrochloride"""
"(""Ocrevus""or""Ocrelizumab ""or""ocrelizumab"") AND (1980:2020 [pdat])","""Ocrevus""or""Ocrelizumab ""or""ocrelizumab"""
"(""Praxbind""or""Idarucizumab""or""idarucizumab"") AND (1980:2020 [pdat])","""Praxbind""or""Idarucizumab""or""idarucizumab"""
"(""Nulojix""or""Belatacept""or""belatacept"") AND (1980:2020 [pdat])","""Nulojix""or""Belatacept""or""belatacept"""
"(""Arcapta neohaler""or""Indacaterol""or""indacaterol maleate"") AND (1980:2020 [pdat])","""Arcapta neohaler""or""Indacaterol""or""indacaterol maleate"""
"(""Tradjenta""or""Linagliptin""or""BI-1356 BS ""iv"""") AND (1980:2020 [pdat])","""Tradjenta""or""Linagliptin""or""BI-1356 BS ""iv"""""
"(""Dalvance""or""Dalbavancin""or""dalbavancin"") AND (1980:2020 [pdat])","""Dalvance""or""Dalbavancin""or""dalbavancin"""
"(""Brintellix/Trintellix""or""Vortioxetine""or""vortioxetine"") AND (1980:2020 [pdat])","""Brintellix/Trintellix""or""Vortioxetine""or""vortioxetine"""
"(""Trulicity""or""Dulaglutide""or""dulaglutide"") AND (1980:2020 [pdat])","""Trulicity""or""Dulaglutide""or""dulaglutide"""
"(""Adlyxin""or""Lixisenatide""or""lixisenatide"") AND (1980:2020 [pdat])","""Adlyxin""or""Lixisenatide""or""lixisenatide"""
"(""Xeomin""or""IncobotulinumtoxinA""or""incobotulinumtoxinA"") AND (1980:2020 [pdat])","""Xeomin""or""IncobotulinumtoxinA""or""incobotulinumtoxinA"""
"(""Rapivab""or""Peramivir""or""peramivir"") AND (1980:2020 [pdat])","""Rapivab""or""Peramivir""or""peramivir"""
"(""Kisqali""or""Ribociclib succinate""or""ribociclib"") AND (1980:2020 [pdat])","""Kisqali""or""Ribociclib succinate""or""ribociclib"""
"(""Spinraza""or""Nusinersen""or""nusinersen"") AND (1980:2020 [pdat])","""Spinraza""or""Nusinersen""or""nusinersen"""
"(""Nerlynx""or""Neratinib maleate""or""neratinib"") AND (1980:2020 [pdat])","""Nerlynx""or""Neratinib maleate""or""neratinib"""
"(""Belviq""or""Lorcaserin""or""lorcaserin hydrochloride"") AND (1980:2020 [pdat])","""Belviq""or""Lorcaserin""or""lorcaserin hydrochloride"""
"(""Fasenra""or""Benralizumab ""or""benralizumab"") AND (1980:2020 [pdat])","""Fasenra""or""Benralizumab ""or""benralizumab"""
"(""Duavee""or""Bazedoxifene acetate and oestrogens""or""bazedoxifene acetateandPremarin"") AND (1980:2020 [pdat])","""Duavee""or""Bazedoxifene acetate and oestrogens""or""bazedoxifene acetateandPremarin"""
"(""Ninlaro""or""Ixazomib""or""ixazomib citrate"") AND (1980:2020 [pdat])","""Ninlaro""or""Ixazomib""or""ixazomib citrate"""
"(""Viekira Pak""or""Ombitasvir and  paritaprevir and  dasabuvir and  ritonavir""or""ombitasvir and paritaprevir and ritonavir and dasabuvir"") AND (1980:2020 [pdat])","""Viekira Pak""or""Ombitasvir and  paritaprevir and  dasabuvir and  ritonavir""or""ombitasvir and paritaprevir and ritonavir and dasabuvir"""
"(""Verzenio""or""Abemaciclib ""or""abemaciclib"") AND (1980:2020 [pdat])","""Verzenio""or""Abemaciclib ""or""abemaciclib"""
"(""Orbactive""or""Oritavancin""or""oritavancin"") AND (1980:2020 [pdat])","""Orbactive""or""Oritavancin""or""oritavancin"""
"(""Adempas""or""Riociguat""or""riociguat"") AND (1980:2020 [pdat])","""Adempas""or""Riociguat""or""riociguat"""
"(""Northera""or""Droxidopa""or""droxidopa"") AND (1980:2020 [pdat])","""Northera""or""Droxidopa""or""droxidopa"""
"(""Siliq""or""Brodalumab ""or""brodalumab"") AND (1980:2020 [pdat])","""Siliq""or""Brodalumab ""or""brodalumab"""
"(""Motegrity""or""Prucalopride ""or""prucalopride succinate"") AND (1980:2020 [pdat])","""Motegrity""or""Prucalopride ""or""prucalopride succinate"""
"(""Potiga""or""Ezogabine""or""ezogabine"") AND (1980:2020 [pdat])","""Potiga""or""Ezogabine""or""ezogabine"""
"(""Firdapse""or""Amifampridine ""or""amifampridine phosphate"") AND (1980:2020 [pdat])","""Firdapse""or""Amifampridine ""or""amifampridine phosphate"""
"(""Orkambi""or""Ivacaftor and lumacaftor""or""lumacaftor and ivacaftor"") AND (1980:2020 [pdat])","""Orkambi""or""Ivacaftor and lumacaftor""or""lumacaftor and ivacaftor"""
"(""Sivextro""or""Tedizolid""or""tedizolid"") AND (1980:2020 [pdat])","""Sivextro""or""Tedizolid""or""tedizolid"""
"(""Rubraca""or""Rucaparib""or""rucaparib"") AND (1980:2020 [pdat])","""Rubraca""or""Rucaparib""or""rucaparib"""
"(""Picato""or""Ingenol mebutate""or""ingenol mebutate"") AND (1980:2020 [pdat])","""Picato""or""Ingenol mebutate""or""ingenol mebutate"""
"(""Cotellic""or""Cobimetinib""or""cobimetinib"") AND (1980:2020 [pdat])","""Cotellic""or""Cobimetinib""or""cobimetinib"""
"(""Zontivity""or""Vorapaxar""or""vorapaxar"") AND (1980:2020 [pdat])","""Zontivity""or""Vorapaxar""or""vorapaxar"""
"(""Lonsurf""or""Tipiracil and trifluridine""or""trifluridine and tipiracil hydrochloride and  Servier"") AND (1980:2020 [pdat])","""Lonsurf""or""Tipiracil and trifluridine""or""trifluridine and tipiracil hydrochloride and  Servier"""
"(""Opsumit""or""Macitentan""or""macitentan"") AND (1980:2020 [pdat])","""Opsumit""or""Macitentan""or""macitentan"""
"(""Prepopik""or""Picosulfate""or""Picoprep"") AND (1980:2020 [pdat])","""Prepopik""or""Picosulfate""or""Picoprep"""
"(""Tremfya""or""Guselkumab ""or""guselkumab"") AND (1980:2020 [pdat])","""Tremfya""or""Guselkumab ""or""guselkumab"""
"(""Empliciti""or""Elotuzumab""or""elotuzumab"") AND (1980:2020 [pdat])","""Empliciti""or""Elotuzumab""or""elotuzumab"""
"(""Briviact""or""Brivaracetam""or""brivaracetam"") AND (1980:2020 [pdat])","""Briviact""or""Brivaracetam""or""brivaracetam"""
"(""Xiaflex""or""Collagenase clostridium histolyticum""or""collagenase Clostridium histolyticum"") AND (1980:2020 [pdat])","""Xiaflex""or""Collagenase clostridium histolyticum""or""collagenase Clostridium histolyticum"""
"(""Kymriah""or""Tisagenlecleucel""or""tisagenlecleucel-t"") AND (1980:2020 [pdat])","""Kymriah""or""Tisagenlecleucel""or""tisagenlecleucel-t"""
"(""Linzess""or""Linaclotide""or""linaclotide acetate"") AND (1980:2020 [pdat])","""Linzess""or""Linaclotide""or""linaclotide acetate"""
"(""Hemlibra""or""Emicizumab ""or""emicizumab"") AND (1980:2020 [pdat])","""Hemlibra""or""Emicizumab ""or""emicizumab"""
"(""Diacomit""or""Stiripentol ""or""stiripentol"") AND (1980:2020 [pdat])","""Diacomit""or""Stiripentol ""or""stiripentol"""
"(""Zejula""or""Niraparib ""or""niraparib"") AND (1980:2020 [pdat])","""Zejula""or""Niraparib ""or""niraparib"""
"(""Cinqair""or""Reslizumab""or""reslizumab"") AND (1980:2020 [pdat])","""Cinqair""or""Reslizumab""or""reslizumab"""
"(""Poteligeo""or""Mogamulizumab""or""mogamulizumab-kpkc"") AND (1980:2020 [pdat])","""Poteligeo""or""Mogamulizumab""or""mogamulizumab-kpkc"""
"(""Breo Ellipta""or""Fluticasone and  vilanterol""or""fluticasone furoate and vilanterol"") AND (1980:2020 [pdat])","""Breo Ellipta""or""Fluticasone and  vilanterol""or""fluticasone furoate and vilanterol"""
"(""Evenity""or""Romosozumab""or""romosozumab"") AND (1980:2020 [pdat])","""Evenity""or""Romosozumab""or""romosozumab"""
"(""Xofigo; formerly Alpharadin""or""Radium Ra 223 dichloride""or""radium-223 dichloride"") AND (1980:2020 [pdat])","""Xofigo; formerly Alpharadin""or""Radium Ra 223 dichloride""or""radium-223 dichloride"""
"(""Aptiom""or""Eslicarbazepine acetate""or""eslicarbazepine acetate"") AND (1980:2020 [pdat])","""Aptiom""or""Eslicarbazepine acetate""or""eslicarbazepine acetate"""
"(""Belsomra""or""Suvorexant""or""suvorexant"") AND (1980:2020 [pdat])","""Belsomra""or""Suvorexant""or""suvorexant"""
"(""Beleodaq""or""Belinostat""or""belinostat"") AND (1980:2020 [pdat])","""Beleodaq""or""Belinostat""or""belinostat"""
"(""Vyndaqel""or""Tafamidis meglumine""or""tafamidis"") AND (1980:2020 [pdat])","""Vyndaqel""or""Tafamidis meglumine""or""tafamidis"""
"(""Erleada""or""Apalutamide ""or""apalutamide"") AND (1980:2020 [pdat])","""Erleada""or""Apalutamide ""or""apalutamide"""
"(""Aimovig""or""Erenumab ""or""erenumab"") AND (1980:2020 [pdat])","""Aimovig""or""Erenumab ""or""erenumab"""
"(""Lorbrena""or""Lorlatinib ""or""lorlatinib"") AND (1980:2020 [pdat])","""Lorbrena""or""Lorlatinib ""or""lorlatinib"""
"(""Teflaro""or""Ceftaroline fosamil""or""ceftaroline acetate"") AND (1980:2020 [pdat])","""Teflaro""or""Ceftaroline fosamil""or""ceftaroline acetate"""
"(""Besponsa""or""Inotuzumab ozogamicin
""or""inotuzumab ozogamicin"") AND (1980:2020 [pdat])","""Besponsa""or""Inotuzumab ozogamicin
""or""inotuzumab ozogamicin"""
"(""Imlygic""or""Talimogene laherparepvec""or""talimogene laherparepvec"") AND (1980:2020 [pdat])","""Imlygic""or""Talimogene laherparepvec""or""talimogene laherparepvec"""
